name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"저온숙성한우 채끝 1등급 구이용 (냉장), 200g, 1개",,,18900,"(100g당9,450원)",모레(월) 새벽도착 보장,14,940,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/598623333010113-8a92558e-d45f-42b0-b729-49dffb51353d.jpg
"저온숙성한우 채끝 1+등급 구이용 (냉장), 200g, 1개",,,22900,"(100g당11,450원)",모레(월) 새벽도착 보장,1,1140,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/599144885791133-36744724-f61f-46c6-a407-202ebee9aecd.jpg
"목우촌 국내산 소고기 채끝 구이용 (냉장), 300g, 1개",30,29990,20990,"(100g당6,997원)",내일(일) 새벽도착 보장,6698,1000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1908013749704922-74b602ba-1af7-4782-8547-c3e54490f5bc.jpg
"설성목장 무항생제 인증 한우 1+등급 채끝 스테이크 (냉장), 200g, 1개",34,45990,29900,"(100g당14,950원)",내일(일) 새벽도착 보장,2596,1420,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/294034064473246-4f5f0923-e57d-49b0-b163-b6167b9ac925.jpg
"팜스토리 국내산 소고기 채끝 구이용 (냉장), 300g, 1개",34,29990,19680,"(100g당6,560원)",내일(일) 새벽도착 보장,454,984,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/11/14/2/492da422-38c1-4042-a198-07148583ff5d.jpg
"좋은소식 한우 채끝 1등급 구이용 (냉장), 200g, 1개",34,37990,24900,"(100g당12,450원)",내일(일) 새벽도착 보장,18,1240,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2382804373830459-cb47e5e6-97dd-4ad0-802b-cc66f2d781cc.jpg
"횡성한우 채끝 1++등급 스테이크용 (냉장), 200g, 1개",,,39990,"(100g당19,995원)",내일(일) 새벽도착 보장,415,1750,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/395309358746017-5c50e3bd-54ea-4d97-90a2-538b41238904.jpg
"농협안심한우 채끝 1+등급 구이용 (냉장), 200g, 1개",25,39900,29860,"(100g당14,930원)",내일(일) 새벽도착 보장,485,1493,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5490370502890816-b7bc52ca-e684-47af-9146-ffbf1bb6398a.jpg
"녹색한우 무항생제 인증 1++등급 채끝 구이용 (냉장), 180g, 1개",33,49990,33350,"(100g당18,528원)",내일(일) 새벽도착 보장,35,1668,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/22/16/9/e6b3503f-f500-4061-aa3e-6efdcb4db1d7.jpg
"좋은소식 숙성 한우 채끝 2등급 구이용 (냉장), 200g, 1개",41,28630,16800,"(100g당8,400원)",내일(일) 새벽도착 보장,33,835,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ltt5hysj/beda6a6ab9f2421f9efa80a24572bba5.jpg
"농협안심한우 채끝 1등급 구이용 (냉장), 200g, 1개",22,38900,30180,"(100g당15,090원)",내일(일) 새벽도착 보장,1008,1509,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5491489223183876-29da7fdc-648b-4816-9056-cb38dbdde0e1.jpg
"생생한우 1등급 채끝 구이용 (냉장), 200g, 1개",34,42900,27990,"(100g당13,995원)",내일(일) 새벽도착 보장,1327,1400,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/653637479738328-165e3454-4833-42f2-93ec-afb7e4940cfb.jpg
"설로인 한우 채끝 1++등급(8) (냉장), 200g, 1팩",,,48390,"(100g당24,195원)",내일(일) 새벽도착 보장,277,2420,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4947873366672236-80800f55-2597-49c7-b47c-ddad0d06b9cf.jpg
"설화우 1등급 한우 채끝 스테이크용 (냉장), 200g, 1개",,,28900,"(100g당14,450원)",내일(일) 새벽도착 보장,71,1295,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/113026705379172-98e8a091-4b20-41cf-98ac-061186f87ad0.jpg
"육감하누 1등급 채끝 구이 (냉장), 200g, 1개",20,28900,23000,"(100g당11,500원)",내일(일) 새벽도착 보장,8,1150,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/i2cga67d/8c5ac0b33ea74144b9cc28eac52058e6.jpg
"곰곰 THE 신선한 호주산 소고기 치마살, 300g, 1개",17,14490,11980,"(100g당3,993원)",내일(일) 새벽도착 보장,92,599,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1078056593741785-3f7f21f6-b7f3-4e9d-9b8b-aace50320479.jpg
"합천황토한우 1+등급 채끝 스테이크용 (냉장), 200g, 1개",37,49990,31390,"(100g당15,695원)",내일(일) 새벽도착 보장,35,1370,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/118086609380668-8f63bf27-60db-44fd-b933-3c01049a856c.jpg
"곰곰 채끝 (냉장), 250g, 1개",25,21390,16000,"(100g당6,400원)",내일(일) 새벽도착 보장,379,800,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1871793579908585-027fa0a9-04c7-45bd-8ee2-3b86a3b3b53b.jpg
