name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"농협안심한우 등심 1등급 구이용 (냉장), 200g, 1개",41,33900,19900,"(100g당9,950원)",내일(일) 새벽도착 보장,3706,990,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4189853563176365-3fd754e4-9b05-45f3-8dc3-044f76f14dd0.jpg
"목우촌 국내산 소고기 등심 구이용 (냉장), 300g, 1개",15,25990,22080,"(100g당7,360원)",내일(일) 새벽도착 보장,12616,1104,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/179106185329620-989bbf80-493a-44c0-aaa7-fa4a2a94b074.jpg
"설성목장 무항생제 인증 한우 1+등급 등심 구이용 (냉장), 200g, 1개",34,34900,22770,"(100g당11,385원)",내일(일) 새벽도착 보장,1838,1139,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/804001142351152-99177f57-8df5-4a6c-9c3a-ff420fe3ced8.jpg
"전통참한우 1등급 등심 구이용 (냉장), 600g, 1개",12,47900,42000,"(100g당7,000원)",내일(일) 새벽도착 보장,1352,2095,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/zijd5r6v/5433c2ade62a48389a85149cd5431dbd.jpg
"횡성한우 등심 1++등급 구이용 (냉장), 200g, 1개",28,42900,30850,"(100g당15,425원)",내일(일) 새벽도착 보장,832,1393,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/613416229248616-0e3cc996-859f-41f1-8c2b-e673e2dbd01b.jpg
"육감하누 등심 1+등급 구이용 (냉장), 200g, 1개",18,26900,21900,"(100g당10,950원)",내일(일) 새벽도착 보장,13,1095,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/muyqwcks/c99a2da3eba34ca8b5427a6edd89e0ef.jpg
"설성목장 무항생제 인증 한우 1++등급 등심 구이용 (냉장), 200g, 1개",38,49990,30990,"(100g당15,495원)",내일(일) 새벽도착 보장,535,1550,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/295669590649283-66043851-8b9d-4822-ac9b-f29d46c61ad2.jpg
"건화 한우 1++등급(9) 등심 구이용 (냉장), 300g, 1개",19,65990,52990,"(100g당17,663원)",내일(일) 새벽도착 보장,397,2650,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/05/08/11/1/781b586b-88e5-4ea3-bc76-ca6fb4547a87.jpg
"목우촌 국내산 소고기 바로구이 등심 2등급 냉장(대패), 200g, 1개",42,25990,14900,"(100g당7,450원)",내일(일) 새벽도착 보장,8366,645,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/11/24/18/4/8b6c8370-d46b-4c69-9ce6-eba5f8e61379.jpg
"저온숙성한우 1등급 등심 구이용 (냉장), 200g, 1개",32,25800,17420,"(100g당8,710원)",내일(일) 새벽도착 보장,189,871,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/udry5vul/eab7e1334e304e5896b0ae5aeeb2faef.jpg
"육교시 한우 1등급 등심 스테이크용 (냉장), 200g, 1개",67,42990,13960,"(100g당6,980원)",내일(일) 새벽도착 보장,143,698,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/10/27/16/6/ff1066a2-423e-45e7-82a6-fdce05d321bf.jpg
"생생한우 1등급 등심 구이용 (냉장), 200g, 1개",37,39900,24990,"(100g당12,495원)",내일(일) 새벽도착 보장,3062,1250,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/05/21/19/8/7d8892b3-a8fa-4bb6-b04a-9c30c7da65a5.jpg
"횡성한우 1+등급 등심 구이용 (냉장), 200g, 1개",29,49900,34990,"(100g당17,495원)",내일(일) 새벽도착 보장,3802,1500,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/59327181285214-bb75edbc-feaf-4095-b408-fd03c6134cfc.jpg
"전통참한우 웻에이징 바로구이 등심 3등급 구이용 (냉장), 250g, 1개",,,16900,"(100g당6,760원)",내일(일) 새벽도착 보장,154,845,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/27/11/5/ad2ebb9d-e9ac-414b-b061-3785b8975b4a.jpg
"설로인 한우 1++등급(8) 꽃등심 (냉장), 300g, 1팩",,,81990,"(100g당27,330원)",내일(일) 새벽도착 보장,113,4100,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4640088223408248-3c724ad6-bfeb-4d66-b294-0151e5a6624e.jpg
"설로인 한우 꽃등심 1++등급(8) (냉장), 200g, 1팩",14,64900,55370,"(100g당27,685원)",내일(일) 새벽도착 보장,368,2769,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4637254242260682-135b296a-2418-4a53-a715-6dcd52ed7f32.jpg
"우미학 한우 등심 1등급 구이용 (냉장), 200g, 1개",,,21400,"(100g당10,700원)",내일(일) 새벽도착 보장,,1070,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ijgpkeu8/9d513c395f954a5181a9ea1fe4cd768d.jpg
"농협안심한우 등심 1+등급 구이용 (냉장), 200g, 1개",27,39900,28900,"(100g당14,450원)",내일(일) 새벽도착 보장,250,1445,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5490293566043605-5b13059d-fdef-4186-818a-1338c1f40b1d.jpg
"설화우 1등급 한우 꽃등심 스테이크용 (냉장), 200g, 1개",19,28990,23340,"(100g당11,670원)",내일(일) 새벽도착 보장,50,1167,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1994561350769328-20637903-f8d5-4aaa-9cbb-b64036ae6c97.jpg
"백년미소 국내산 소고기 등심 2등급 찹스테이크용 (냉장), 200g, 1개",7,14900,13800,"(100g당6,900원)",내일(일) 새벽도착 보장,,690,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/8jk15dyc/86645007b22549368c19d4ef367a9ee9.jpg
"횡성한우 1+등급 깍둑등심 (냉장), 200g, 1개",33,49990,33300,"(100g당16,650원)",내일(일) 새벽도착 보장,144,1665,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/07/22/10/8/9f2e3e3e-0f1a-4e4a-89f2-cf0f8ee82b6e.jpg
"근본육 한우 1등급 등심 구이용 (냉장), 200g, 1팩",4,24990,23990,"(100g당11,995원)",내일(일) 새벽도착 보장,117,1200,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/04/16/2/c11fdb53-bac2-4fbf-b166-78356e3798f0.jpg
"전통참한우 구이스테이크 등심+안심+채끝 홈파티세트 1호 (냉장), 700g, 1세트",31,129000,88480,,모레(월) 새벽도착 보장,275,4074,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/10/13/15/5/79b5e0f0-a72d-411b-a3fb-4109370b9555.jpg
"팜스토리 국내산 소고기 등심 구이 (냉장), 300g, 1개",31,28990,19990,"(100g당6,663원)",내일(일) 새벽도착 보장,140,1000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/11/12/5/805486a8-7c7d-418a-afda-30e112d9ec45.jpg
"목우촌 국내산 소고기 윗등심 로스용 (냉장), 400g, 1개",19,29900,23990,"(100g당5,998원)",내일(일) 새벽도착 보장,1904,1200,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/10/17/15/5/c2b05e76-4f21-4a43-898d-d2727f0a94e5.jpg
"대정한우 등심 2등급 구이용 (냉장), 200g, 1개",,,15870,"(100g당7,935원)",내일(일) 새벽도착 보장,3,794,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/7kmwttgw/c78784295cd24decb2978369633cfff2.jpg
"전통참한우 1+등급 등심 구이용 (냉장), 200g, 1개",,,27830,"(100g당13,915원)",내일(일) 새벽도착 보장,813,1391,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/05/19/10/0/3cbb4348-b86f-4cd4-a617-485176df0d41.jpg
"이로우 국내산 무항생제 소고기 등심 구이용 (냉장), 300g, 1팩",33,29900,19990,"(100g당6,663원)",내일(일) 새벽도착 보장,2560,1000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1720688003694105-69073a01-b024-45d7-9280-9eaee6335dd6.jpg
